,id,created_at,text
1,1401307747283517444,2021-06-05T22:39:36.000Z,I love her. ♥️ #barbarapravi https://t.co/iVb50qu9lp
2,1401307271276150789,2021-06-05T22:37:43.000Z,New girl crush unlocked: @Babpravi
6,1401244826469900291,2021-06-05T18:29:35.000Z,@Shahabs @Babpravi I am Blocking all twitter advertising until twitter changes their censorship policies ! I have blocked over 3900 promoted tweets! Join the fight!
15,1401174491548553227,2021-06-05T13:50:06.000Z,"@NDjokofan @LifeDjoker @DjokerNole @Babpravi Absolute class, both of them 🙌"
16,1401172465573900289,2021-06-05T13:42:02.000Z,@theDjole @LifeDjoker She sings well and is watching @DjokerNole - 😘 @Babpravi
26,1401068336180518913,2021-06-05T06:48:16.000Z,@dunclaurence I think you singing ‘Voilà’ by @Babpravi would be iconic 🎹🎶
28,1400964683855708162,2021-06-04T23:56:23.000Z,Some fun @Babpravi edits i made w PicsArt presets bc i was bored https://t.co/OHiUqMNcK0
36,1400920152028352513,2021-06-04T20:59:26.000Z,I WANT THE OLD VOTING SYSTEM BACK!!!! @Babpravi https://t.co/ZF2ocFVV4A
40,1400897207608528900,2021-06-04T19:28:16.000Z,I fell in love with @Babpravi  Je t'aime Barbara 😍 #Eurovision https://t.co/UAOYZiIGKu
66,1400579778768519175,2021-06-03T22:26:55.000Z,@chaseomgbbq33 @iambilalhassani @Babpravi we don’t
67,1400579409627828228,2021-06-03T22:25:27.000Z,We need a @iambilalhassani and @Babpravi collab❤️
69,1400556905756512257,2021-06-03T20:56:02.000Z,Playlist: French National Final 2021 Songs! Check It Out! #eurovision #eurovision2021 #esc #esc2021 #openup #barbarapravi #eurovisionfrance #france #myeurofreaks https://t.co/TaTyOl7REs
76,1400498819746484233,2021-06-03T17:05:13.000Z,barbara marry me not a question @Babpravi https://t.co/8ogmP4zYTA
80,1400475207203135488,2021-06-03T15:31:23.000Z,Get well soon queen @Babpravi 🖤 https://t.co/8LoaN9BbNG
81,1400474183281303553,2021-06-03T15:27:19.000Z,Every single song in this EP is amazing!! WOW 🔥🥵 @Babpravi #EUROVISION #EurovisionSongContest #barbarapravi https://t.co/2yV44Mj3Op
90,1400450812589920256,2021-06-03T13:54:27.000Z,@Babpravi get well soon! X
94,1400434273740541955,2021-06-03T12:48:44.000Z,"@Babpravi illustrates the essence of engagement . . . the heart, head &amp; hands passionately working in unison, fully committed to a purpose. Nothing moves an audience or fosters customer loyalty more. A beautiful dynamic to watch! #engagedonpurpose  https://t.co/1FjQBNHcjY"
98,1400426549992640513,2021-06-03T12:18:02.000Z,@Tioux79 @Babpravi @CapitolFR @EurovisionF2 Ah well done! Bit out of my price range 😭😂
100,1400409757165445121,2021-06-03T11:11:19.000Z,@Babpravi was tested #covid19 positive. We wish her a swift recovery! #covid_19 #covid #corona https://t.co/Qpf9yqZI6P
106,1400384504896892932,2021-06-03T09:30:58.000Z,@Babpravi SENDING ALL THE LOVE 💛💓💗💘💝💞💛🖤💝💗💖💛💘💗💖 get well soon&lt;3
114,1400364634624954369,2021-06-03T08:12:01.000Z,"📈 @thisismaneskin, @Babpravi and @_Go_A_ have all cracked the top 100 of @billboard's Global excl. USA chart  🇮🇹 The Italian rockers actually have two songs on the list!  ✍️ via @robynesc   https://t.co/9tlVcTQOgU"
135,1400324039340662784,2021-06-03T05:30:42.000Z,@amysians @Babpravi @CapitolFR @EurovisionF2 It‘s seems it is from Christian Dior
150,1400212793232605184,2021-06-02T22:08:39.000Z,I'm still obsessed with @Babpravi's music.
176,1400195876522541060,2021-06-02T21:01:26.000Z,@babpravi thanks for appearing on spanish tv showing support to Rocio Carrasco. Get well soon! You're so talented and sweet 💜👏🏻
231,1400183510552489992,2021-06-02T20:12:17.000Z,@rocioseguirviva @Babpravi @BlasCanto @CarlotaLlauger @CarlotaLlauger forever 🙌🙌🙌
421,1400151971198345217,2021-06-02T18:06:58.000Z,"📺 ICYMI: My #ESC2021 review went up Monday! I react to the Top 5 of this year's #Eurovision but just what did I make of @ThisIsManeskin, @BabPravi, @GjonsTearsOff, @DadiMakesMusic &amp; @_Go_A_'s performances? Catch up now...  👉 https://t.co/lJ3VVO86eC  #Eurovision2021 #OpenUp https://t.co/SUyK48isVG"
501,1400131989504761865,2021-06-02T16:47:34.000Z,🎶The song that moved me the most from #Eurovision was #Voilà by @Babpravi So I couldn't resist making my own version in Spanish. FULL 🎥 https://t.co/e5EwzYutxP #Eurovision2021 #eurovisionfrance #BarbaraPravi #voila #voilacover #esc #esc2021 #eurofan #voilaenespagnol @Eurovision https://t.co/cGCp794TWR
607,1400116638398177283,2021-06-02T15:46:34.000Z,@rocioseguirviva @Babpravi @BlasCanto @CarlotaLlauger Lo he han en NETFLIX https://t.co/4pFFWc2vie
626,1400114208696582150,2021-06-02T15:36:54.000Z,@rocioseguirviva @Babpravi @BlasCanto @CarlotaLlauger Netflix 👏👏👏👏
673,1400107570904305666,2021-06-02T15:10:32.000Z,@rocioseguirviva @Babpravi @BlasCanto @CarlotaLlauger The show must go on... https://t.co/3dpGDf0xL3
