,id,created_at,text
1,1401302676873400321,2021-06-05T22:19:27.000Z,It's just me or anyone else see the similarity between those people 🤔 One of them is legendary musician Jack White 🤩🎸🤟 other is young rising musician Alex Mattson from @BlindChannelFIN  🎸🤟 It look like father and son 😆 #EUROVISION #blindchannel #rockmusic #alternativerock https://t.co/HgFCRoB0I9
2,1401298466001895431,2021-06-05T22:02:43.000Z,Me waiting for the translation of @BlindChannelFIN interview https://t.co/ZxmnQZZHln
3,1401294407941427201,2021-06-05T21:46:36.000Z,"Tik Tok, plz stop giving me tik toks with maneskin and their musick, I want Blind Channel #TikTok #maneskin #blindchannel"
4,1401282489528762379,2021-06-05T20:59:14.000Z,Glow up #blindchannel #BlindChannel #jointothedarkside #JoinToTheDarkSide https://t.co/YMNnW7DUOF
6,1401271724478435333,2021-06-05T20:16:28.000Z,@BiancaDrawz_ @BlindChannelFIN on the mtv3 app but you have to make an account to watch it
7,1401271450204528641,2021-06-05T20:15:22.000Z,@oh_mybrien @BlindChannelFIN Where did you watch it? Do I have to make an account to watch it on the site?
10,1401266038713602050,2021-06-05T19:53:52.000Z,they’re pointing at someone who has an unhealthy obsession with blind channel  #blindchannel https://t.co/HVZ2jN6FBX
15,1401247001061232644,2021-06-05T18:38:13.000Z,Love this number from @BlindChannelFIN i did really well for the eurovision songs contest https://t.co/dySWQD6Un2
19,1401242905218588679,2021-06-05T18:21:57.000Z,Blind Channel now 😍😍😍 #BlindChannel #JoonasNordmanShow
20,1401242644064477184,2021-06-05T18:20:54.000Z,sold my soul   #joelhokka #blindchannel https://t.co/K9ltd2kvrS
21,1401238343216766986,2021-06-05T18:03:49.000Z,#JoonasNordmanShow w/ @BlindChannelFIN let's go
26,1401229066649411587,2021-06-05T17:26:57.000Z,STOP IT OMF  #blindchannel https://t.co/r9EdgBFBmC
27,1401202817310859266,2021-06-05T15:42:39.000Z,@oh_mybrien @BlindChannelFIN Niko being a great leader
28,1401200384488755208,2021-06-05T15:32:59.000Z,@oh_mybrien @BlindChannelFIN hahahaha ok i was surprised but wow!! that's so great i'm so proud of them
29,1401197116463144963,2021-06-05T15:20:00.000Z,@angeeolras @BlindChannelFIN at the moment (I forgot to specify it 😅)
30,1401196160719728642,2021-06-05T15:16:12.000Z,I am so proud of you guys 🖤 #BlindChannel #JoinTheDarkSide #DarkSide https://t.co/lZDO4o0HH0
31,1401196150531690498,2021-06-05T15:16:09.000Z,@oh_mybrien @BlindChannelFIN omg seriously? of all time ?
32,1401196145565745152,2021-06-05T15:16:08.000Z,so incredibly proud of you @BlindChannelFIN 🤘🏻💜 https://t.co/hOTTCzWac4
33,1401195002827509762,2021-06-05T15:11:36.000Z,@BlindChannelFIN being the most streamed finnish artists in the world = LEGENDS ONLY
35,1401184646721908742,2021-06-05T14:30:27.000Z,Tune in and listen to: Dark Side (Eurovision 2021 Finland) by @BlindChannelFIN -&gt; Only at https://t.co/NgQXzzmIaR #radio #stream https://t.co/IaKH8i8EAZ
37,1401143816552423426,2021-06-05T11:48:12.000Z,I hope @BlindChannelFIN are having a wonderful day x
38,1401137986494947331,2021-06-05T11:25:02.000Z,@JoelHokka et (And) @NikoVilhelm @BlindChannelFIN https://t.co/fYAvnPMTQU
39,1401133957517807618,2021-06-05T11:09:01.000Z,Three horsemen of the apocalypse😈  ( I put on the wallpaper right NOW )  #blindchannel @thealexmattson @JoelHokka https://t.co/GvHv6mdPGl
48,1401107231773499394,2021-06-05T09:22:50.000Z,@erb_radio @GhostsofSunset @thisismaneskin @BlindChannelFIN @SKAM_UK @davykmusic @TURNSTILEHC @DanDonovanMuso Thanks for including us Chris 🤘
50,1401089910233178114,2021-06-05T08:14:00.000Z,"This afternoon at 4pm, the Asahartz' #RockRevelation show will start off with music from @GhostsofSunset @thisismaneskin @BlindChannelFIN @50_Year_Storm @SKAM_UK @davykmusic @TURNSTILEHC @DanDonovanMuso https://t.co/2TDUlAVpu4"
55,1401076695109672960,2021-06-05T07:21:29.000Z,#nowplaying Dark Side by Blind Channel (@BlindChannelFIN) Listen now: https://t.co/ArYvuRiu1n
56,1401066440493617157,2021-06-05T06:40:44.000Z,You can live for those eyes👁️  #blindchannel #eyes https://t.co/nSuuem3Olj
58,1401053631621873664,2021-06-05T05:49:50.000Z,Joel is me when I have to speak in public  #blindchannel https://t.co/msRsBt5g3c
61,1400954779749212165,2021-06-04T23:17:02.000Z,Angelic voices ❤️ @BlindChannelFIN https://t.co/Ho7HtvQsMa
65,1400914353914777605,2021-06-04T20:36:24.000Z,"@BlindChannelFIN Well deserved boys, congrats from the states 👏🇺🇸🇺🇸"
