,id,created_at,text
0,1401287541349814273,2021-06-05T21:19:19.000Z,Thank you @gjonstearsoff. I've been enjoying your voice since #ESC2021. Hope to see you in Vienna some time soon ❤️
2,1401266142371581955,2021-06-05T19:54:17.000Z,MY WHOLE UNIVERSE  #gjonstears https://t.co/s1HaAjz3Z6
3,1401265710878298118,2021-06-05T19:52:34.000Z,I JUST LOVE HIM WITH ALL MY HEART AND SOUL  #gjonstears https://t.co/fcXJZkfn1O
8,1401228274932539395,2021-06-05T17:23:48.000Z,@gjonstearsoff Congratulations for Your song!!!💗💗💗💐💐💐😂👍🏻👍🏻👍🏻🤓 wonderful your Words to Rocio in Spain 💗💗💗💗 Lovely your friend Blas and You in Tv 💗. I voted for You in Eurovision Song Contest. Your song Makes me cry. 💗💗💗👍🏻 wonderful!! Thanks💐👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
12,1400967753696264196,2021-06-05T00:08:35.000Z,Stream 'Babi' for clear skin 😌 #gjonstears #Eurovision   https://t.co/EDixfJ6NBP https://t.co/4KOAooVEtt
15,1400907255348969472,2021-06-04T20:08:11.000Z,"Shoutout to ""gjontearss"" on Instagram who turned this already entertaining interview into a bomb of fun! I can't🤣Let's enjoy Gjon inventing a mixed language of Spanish, Italian, and changed words while Blas doesn't translate his answer and say ""yeah"" lolll #gjonstears #blascanto https://t.co/uAcfhf5ceK"
17,1400850663576326146,2021-06-04T16:23:19.000Z,"◇ Gjon's Tears ◇  Fanart of the singer Gjon's Tears from Eurovision.  Don't edit, trace, copy, qrt or repost my art. Any type of reproduction is strictly prohibited.   #eurovision2021 #gjonstears #illustration https://t.co/dYEBHotdPC"
18,1400812226819379202,2021-06-04T13:50:35.000Z,"when i watched his performance for the 1st time in grand final, i was like ""woah, he is so cute and his voice is amazing"" and now i just would give my life for him it's kinda crazy  #gjonstears #Eurovision2021 https://t.co/RC6nVLOqOd"
23,1400759099655139328,2021-06-04T10:19:28.000Z,@gjonstearsoff maybe this is for you... https://t.co/h4HYGNgkbz
26,1400682948047818754,2021-06-04T05:16:52.000Z,We've heard less than a MINUTE of the English version of Tout l'univers and I already get it stuck in my head @gjonstearsoff pls pls pls consider releasing the full version!
30,1400546717515366400,2021-06-03T20:15:33.000Z,@ElifSaglam99 @gjonstearsoff *needs* to see this.
34,1400508339289792514,2021-06-03T17:43:02.000Z,Amazing! #gjonstears 😂 https://t.co/6WkWGUVH0y
36,1400500288402903054,2021-06-03T17:11:03.000Z,@LGTBNews @BlasCanto @gjonstearsoff What does it have to do with lgbt community?
53,1400446399934648334,2021-06-03T13:36:55.000Z,Gjon's Tears just to enlight your timeline #GjonsTears #ESC2021 https://t.co/4BNRNVDRuK
57,1400386165145059329,2021-06-03T09:37:34.000Z,Thanks 💜🙌 @gjonstearsoff #RocioSeguirViva https://t.co/v0JsHdqhXe
