,id,created_at,text
1,1401319393238339585,2021-06-05T23:25:53.000Z,"@BigBettyBeyond @15Ziggo @ZiggoDome @ConchitaWurst @sergeylazarev @dunclaurence @OG3NE @hurricane_srb @senhitofficial @EdsiliaRombley @_Go_A_ @manszelmerlow @ruthjacott @paparizouhelena don't forget barbara pravi from france voila voila,,,, 😍😍😍😍😍😍😍😍😍 @15Ziggo"
2,1401309884243660801,2021-06-05T22:48:06.000Z,I've been listening to @_Go_A_ 's album and so many of their tracks would fit the Ghost in the Shell: Stand Alone Complex soundtrack. No wonder I like them so much.
3,1401289120576544773,2021-06-05T21:25:35.000Z,@Songfestival_be @CarolaOfficial @foureira_eleni @_Go_A_ @keiinoband @KristianKostov_ @LenKuhr @LOREEN_TALHAOUI @futomaki @NettaBarzilai amazing lineup 😍🤩 please invite Gjons Tears and the Roop 🥺🙏
5,1401282045561692160,2021-06-05T20:57:28.000Z,Had a dream that @_Go_A_ tickets all sold out in the UK before I could get one lmao
8,1401264095651938308,2021-06-05T19:46:09.000Z,Soft power of Ukrainian music = strong response to hybrid threats to democracy! @_Go_A_ band  at Democracy in Action: Zero Corruption Conference! #DIA_ZCC Last-minute to register: https://t.co/UDwoIYl0Ts https://t.co/TO9fxbSl00
11,1401256541626548224,2021-06-05T19:16:08.000Z,"⚡️Great news! The musical component of our Conference is Ukrainian band @_Go_A_, which has already made lot's of noise at Eurovision Song Contest and appeared at the top of the music charts iTunes, Apple Music and Spotify! See you on Monday! Register at https://t.co/eu0coCc5FZ https://t.co/c5aga0ICQG"
14,1401250015549476866,2021-06-05T18:50:12.000Z,@Songfestival_be @CarolaOfficial @foureira_eleni @_Go_A_ @keiinoband @KristianKostov_ @LenKuhr @LOREEN_TALHAOUI @futomaki @NettaBarzilai I want Duncan Laurence there 😍
15,1401241464223322114,2021-06-05T18:16:13.000Z,@Rad_Cosplay @_Go_A_ ABSOLUTELY
17,1401238827684016135,2021-06-05T18:05:44.000Z,@quesadrilla @_Go_A_ They will be there!
18,1401235173040140290,2021-06-05T17:51:13.000Z,@_Go_A_ UK please!!!!
21,1401208766998196228,2021-06-05T16:06:17.000Z,@_Go_A_ Can you come to Estonia? I'll beg...
22,1401205083774361604,2021-06-05T15:51:39.000Z,@_Go_A_ Prays you come to Wales
23,1401204518424023043,2021-06-05T15:49:24.000Z,I tried to sing @_Go_A_ 's Соловей (Solovey)!! I discovered them with Eurovision and I just can't stop listening to them! I wanted to learn the Ukrainian pronunciation better before singing this but tbh I'm kinda hyped so yeah here's ma trying to sing in Ukrainian 👀 https://t.co/0qRvnMfH2R
24,1401192295756558344,2021-06-05T15:00:50.000Z,@Songfestival_be @CarolaOfficial @foureira_eleni @_Go_A_ @keiinoband @KristianKostov_ @LenKuhr @LOREEN_TALHAOUI @futomaki @NettaBarzilai hope there will be something like this in the upcoming host country every year: -December 2022 in 2023's host country -December 2023 in 2024's host country and so on.
25,1401180693795852293,2021-06-05T14:14:44.000Z,🇺🇦 Are you ready for some SHUM?  🥳 @_Go_A_ got added to the “Het Grote Songfestivalfeest 2021” line-up   🎟️ Grab your tickets now &amp; check all confirmed acts so far below 👇 #Eurovision #ESC2021   https://t.co/N9Z64aM9X0
26,1401180009037959168,2021-06-05T14:12:01.000Z,@billboardcharts @OfficialRezz @DoveCameron @_Go_A_ @kvshmusic @schillist ICONIC https://t.co/Cj0OLstAxS
27,1401178557242658817,2021-06-05T14:06:15.000Z,@Songfestival_be @CarolaOfficial @foureira_eleni @_Go_A_ @keiinoband @KristianKostov_ @LenKuhr @LOREEN_TALHAOUI @futomaki @NettaBarzilai Happy to be there 🤗
29,1401152171211636745,2021-06-05T12:21:24.000Z,"@_Go_A_ Please, please, please come to the UK!!!!!!!!!! *keeps all fingers crossed 💕"
34,1401133020023775237,2021-06-05T11:05:18.000Z,@_Go_A_ Please come to Slovenia! 🇸🇮 You would be a total blast at the Lent festival! ❤️
36,1401106489733963778,2021-06-05T09:19:53.000Z,@_Go_A_ The UK awaits..... Hopefully 🤞
37,1401106197198082048,2021-06-05T09:18:43.000Z,@_Go_A_ Soooooo excited!
40,1401088704454742016,2021-06-05T08:09:12.000Z,@rebelofeurope @izzibobizzi @_Go_A_ Sertab is playing at the amphitheatre here in Marmaris in July!
42,1401078782732165122,2021-06-05T07:29:47.000Z,@iglaoftheninth @_Go_A_ Funny that at the beginning of their careers he was also called Jesus because of his similar appearance
43,1401065437484523520,2021-06-05T06:36:45.000Z,"@_Go_A_ Can't wait to hear ""Rano"" and ""Tserkovka""! https://t.co/KQyGpebPpT"
44,1401052898059038721,2021-06-05T05:46:55.000Z,@_Go_A_ Don’t forget Belgium 🇧🇪😘
45,1400998797493379076,2021-06-05T02:11:57.000Z,"In french we say ""il n'y a que les cons qui ne changent pas d'avis"" In 2013 nobody was ready for @ElitsaTodorova But in 2021 @_Go_A_ won televotes.  Happy to see people changing for good 🧡 #Eurovision #Ukraine #Bulgaria  https://t.co/UbHQZnwaAM"
49,1400963314419744769,2021-06-04T23:50:57.000Z,@_Go_A_ Any chance of a performance at Het Grote Songfestivalfeest 2021 in the Netherlands in december?
50,1400962959984119809,2021-06-04T23:49:32.000Z,Okay everybody is still nerding out over Kateryna Pavlenko but can we talk about how @_Go_A_'s keyboardist is literally named TARAS SHEVCHENKO
52,1400948848848248832,2021-06-04T22:53:28.000Z,@_Go_A_ Germany and Poland please!!! 🙏🙏🙏🙏🇩🇪🇩🇪🇩🇪🇵🇱🇵🇱🇵🇱
